Rk,G,Date,Age,Tm,HOME,OPP,TOV,DRB,R,ORB,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,PF,PTS,GmSc,+/-
1,1,2019-10-23,20-237,DAL,,WAS,6,8,W (+8),1,1,33:31,12,19,.632,4,9,.444,6,8,.750,9,3,2,0,4,34,24.3,0
2,2,2019-10-25,20-239,DAL,@,NOP,3,9,W (+7),1,1,37:41,10,19,.526,3,9,.333,2,2,1.000,10,10,2,0,1,25,24.7,+12
3,3,2019-10-27,20-241,DAL,,POR,4,11,L (-2),1,1,37:42,8,22,.364,2,11,.182,11,14,.786,12,9,3,0,4,29,23.3,+5
4,4,2019-10-29,20-243,DAL,@,DEN,4,2,W (+3),2,1,32:30,3,12,.250,1,6,.167,5,8,.625,4,5,2,0,1,12,6.7,-17
5,5,2019-11-01,20-246,DAL,,LAL,6,12,L (-9),1,1,38:08,10,23,.435,4,9,.444,7,8,.875,13,15,0,1,3,31,26.8,-4
6,6,2019-11-03,20-248,DAL,@,CLE,5,10,W (+20),4,1,33:33,9,17,.529,5,10,.500,6,6,1.000,14,15,0,0,2,29,31.2,+15
7,7,2019-11-06,20-251,DAL,,ORL,6,5,W (+1),2,1,37:26,10,21,.476,1,7,.143,6,7,.857,7,7,0,0,3,27,16.5,+6
8,8,2019-11-08,20-253,DAL,,NYK,8,13,L (-4),1,1,35:13,13,26,.500,3,11,.273,9,9,1.000,14,10,0,0,5,38,26.6,-5
9,9,2019-11-09,20-254,DAL,@,MEM,2,11,W (+16),3,1,28:41,9,16,.563,2,6,.333,4,5,.800,14,8,2,0,0,24,27.0,+1
10,10,2019-11-11,20-256,DAL,@,BOS,1,6,L (-10),0,1,33:47,11,21,.524,3,10,.300,9,10,.900,6,9,0,0,2,34,29.6,-17
11,11,2019-11-14,20-259,DAL,@,NYK,3,9,L (-3),1,1,35:32,10,23,.435,3,12,.250,10,13,.769,10,11,3,1,1,33,31.1,-3
12,12,2019-11-16,20-261,DAL,,TOR,7,12,W (+8),3,1,35:37,5,14,.357,1,5,.200,15,19,.789,15,7,2,0,1,26,21.8,+14
13,13,2019-11-18,20-263,DAL,,SAS,5,9,W (+7),2,1,35:15,14,27,.519,5,13,.385,9,13,.692,11,12,0,0,5,42,32.6,+11
14,14,2019-11-20,20-265,DAL,,GSW,5,9,W (+48),1,1,25:30,11,18,.611,6,10,.600,7,8,.875,10,11,4,0,3,35,35.3,+45
15,15,2019-11-22,20-267,DAL,,CLE,2,7,W (+42),0,1,28:29,11,18,.611,4,8,.500,4,4,1.000,7,14,0,0,2,30,30.9,+21
16,16,2019-11-24,20-269,DAL,@,HOU,5,6,W (+14),0,1,34:26,15,30,.500,5,14,.357,6,8,.750,6,10,2,1,3,41,30.5,+21
17,17,2019-11-26,20-271,DAL,,LAC,7,6,L (-15),2,1,34:31,4,14,.286,0,8,.000,14,16,.875,8,6,3,0,4,22,14.8,-7
18,18,2019-11-29,20-274,DAL,@,PHO,2,7,W (+7),2,1,37:33,12,24,.500,3,11,.273,15,18,.833,9,11,1,0,4,42,37.4,+3
19,19,2019-12-01,20-276,DAL,@,LAL,7,7,W (+14),2,1,32:41,10,23,.435,4,10,.400,3,3,1.000,9,10,3,0,1,27,21.0,+5
20,20,2019-12-03,20-278,DAL,@,NOP,4,16,W (+21),2,1,28:29,9,18,.500,5,12,.417,10,13,.769,18,5,0,0,0,33,28.5,+16
21,21,2019-12-04,20-279,DAL,,MIN,5,7,W (+7),0,1,31:39,8,22,.364,1,8,.125,5,8,.625,7,6,0,0,2,22,9.1,-16
22,22,2019-12-07,20-282,DAL,,NOP,2,6,W (+46),0,1,26:11,8,15,.533,2,8,.250,8,10,.800,6,9,1,0,2,26,24.2,+28
23,23,2019-12-08,20-283,DAL,,SAC,6,7,L (-4),0,1,35:02,10,24,.417,3,12,.250,4,5,.800,7,8,0,0,2,27,14.7,+4
24,24,2019-12-12,20-287,DAL,@,DET,3,11,W (+11),1,1,33:39,14,24,.583,6,13,.462,7,12,.583,12,11,0,0,2,41,35.7,+29
25,25,2019-12-14,20-289,DAL,,MIA,1,1,L (-4),0,1,1:40,0,1,.000,0,1,.000,2,2,1.000,1,0,0,0,0,2,0.6,-4
30,26,2019-12-26,20-301,DAL,,SAS,3,7,W (+4),3,1,32:39,9,23,.391,1,6,.167,5,8,.625,10,8,1,0,3,24,16.9,+3
31,27,2019-12-28,20-303,DAL,@,GSW,3,10,W (+20),2,1,30:05,8,16,.500,5,8,.625,10,10,1.000,12,15,2,0,0,31,36.9,+20
32,28,2019-12-29,20-304,DAL,@,LAL,6,3,L (-13),1,1,30:18,5,14,.357,0,6,.000,9,9,1.000,4,7,2,0,3,19,12.5,-13
33,29,2019-12-31,20-306,DAL,@,OKC,2,8,L (-5),2,1,40:14,12,29,.414,3,16,.188,8,12,.667,10,7,1,0,3,35,24.4,+1
